,Bank Name,City,ST,CERT,Acquiring Institution,Closing Date,Updated Date
421,InBank,Oak Forest,IL,20203,"MB Financial Bank, N.A.","September 4, 2009","October 17, 2015"
422,First Bank of Kansas City,Kansas City,MO,25231,Great American Bank,"September 4, 2009","August 21, 2012"
423,Affinity Bank,Ventura,CA,27197,Pacific Western Bank,"August 28, 2009","February 1, 2019"
424,Mainstreet Bank,Forest Lake,MN,1909,Central Bank,"August 28, 2009","February 21, 2018"
425,Bradford Bank,Baltimore,MD,28312,Manufacturers and Traders Trust Company (M&T Bank),"August 28, 2009","February 1, 2019"
426,Guaranty Bank,Austin,TX,32618,BBVA Compass,"August 21, 2009","February 1, 2019"
427,CapitalSouth Bank,Birmingham,AL,22130,IBERIABANK,"August 21, 2009","February 20, 2018"
428,First Coweta Bank,Newnan,GA,57702,United Bank,"August 21, 2009","December 7, 2015"
429,ebank,Atlanta,GA,34682,"Stearns Bank, N.A.","August 21, 2009","February 1, 2019"
430,Community Bank of Nevada,Las Vegas,NV,34043,No Acquirer,"August 14, 2009","February 1, 2019"
431,Community Bank of Arizona,Phoenix,AZ,57645,MidFirst Bank,"August 14, 2009","February 1, 2019"
432,"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,"August 14, 2009","February 1, 2019"
433,Colonial Bank,Montgomery,AL,9609,"Branch Banking & Trust Company, (BB&T)","August 14, 2009","February 1, 2019"
434,Dwelling House Savings and Loan Association,Pittsburgh,PA,31559,"PNC Bank, N.A.","August 14, 2009","February 1, 2019"
435,Community First Bank,Prineville,OR,23268,Home Federal Bank,"August 7, 2009","June 6, 2018"
436,Community National Bank of Sarasota County,Venice,FL,27183,"Stearns Bank, N.A.","August 7, 2009","February 1, 2019"
437,First State Bank,Sarasota,FL,27364,"Stearns Bank, N.A.","August 7, 2009","February 1, 2019"
438,Mutual Bank,Harvey,IL,18659,United Central Bank,"July 31, 2009","November 13, 2019"
439,First BankAmericano,Elizabeth,NJ,34270,Crown Bank,"July 31, 2009","February 1, 2019"
440,Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.","July 31, 2009","September 10, 2018"
441,Integrity Bank,Jupiter,FL,57604,Stonegate Bank,"July 31, 2009","January 31, 2019"
442,First State Bank of Altus,Altus,OK,9873,Herring Bank,"July 31, 2009","February 1, 2019"
443,Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
444,Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,"July 24, 2009","October 17, 2015"
445,Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,"July 24, 2009","January 31, 2019"
446,Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,"July 24, 2009","January 6, 2016"
447,Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,"July 24, 2009","August 20, 2012"
448,Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,"July 24, 2009","October 23, 2017"
449,Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.","July 24, 2009","November 1, 2013"
450,Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,"July 17, 2009","October 20, 2016"
451,Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,"July 17, 2009","September 14, 2018"
452,BankFirst,Sioux Falls,SD,34103,"Alerus Financial, N.A.","July 17, 2009","July 15, 2018"
453,First Piedmont Bank,Winder,GA,34594,First American Bank and Trust Company,"July 17, 2009","August 8, 2016"
454,Bank of Wyoming,Thermopolis,WY,22754,Central Bank & Trust,"July 10, 2009","July 12, 2018"
455,Founders Bank,Worth,IL,18390,The PrivateBank and Trust Company,"July 2, 2009","January 31, 2019"
456,Millennium State Bank of Texas,Dallas,TX,57667,State Bank of Texas,"July 2, 2009","October 26, 2012"
